quizId,questionId,question,studentId,answer
1,1,"Other than C, C++ and Java, what other programming language do you use?",92,Python
1,1,"Other than C, C++ and Java, what other programming language do you use?",93,scala
1,1,"Other than C, C++ and Java, what other programming language do you use?",94,Scala
1,1,"Other than C, C++ and Java, what other programming language do you use?",95,Scala
1,1,"Other than C, C++ and Java, what other programming language do you use?",96,"python, matlab, javascript"
1,1,"Other than C, C++ and Java, what other programming language do you use?",97,c# .net
1,1,"Other than C, C++ and Java, what other programming language do you use?",98,Perl
1,1,"Other than C, C++ and Java, what other programming language do you use?",99,Python
1,1,"Other than C, C++ and Java, what other programming language do you use?",100,Objective C
1,1,"Other than C, C++ and Java, what other programming language do you use?",101,None
1,1,"Other than C, C++ and Java, what other programming language do you use?",102,Javascript
1,1,"Other than C, C++ and Java, what other programming language do you use?",103,NONE
1,1,"Other than C, C++ and Java, what other programming language do you use?",104,"javascript, python"
1,1,"Other than C, C++ and Java, what other programming language do you use?",105,HTML
1,1,"Other than C, C++ and Java, what other programming language do you use?",106,"HTML, CSS3, Javascript, JSP, JSF"
1,1,"Other than C, C++ and Java, what other programming language do you use?",107,Java Script
1,1,"Other than C, C++ and Java, what other programming language do you use?",108,PHP
1,1,"Other than C, C++ and Java, what other programming language do you use?",109,JavaScript
1,1,"Other than C, C++ and Java, what other programming language do you use?",110,javascript
1,1,"Other than C, C++ and Java, what other programming language do you use?",111,"Python, JavaScript, PHP"
1,1,"Other than C, C++ and Java, what other programming language do you use?",112,-
1,1,"Other than C, C++ and Java, what other programming language do you use?",113,None
1,1,"Other than C, C++ and Java, what other programming language do you use?",114,ABAP
1,1,"Other than C, C++ and Java, what other programming language do you use?",115,"C#, HTML, Javascript"
1,1,"Other than C, C++ and Java, what other programming language do you use?",116,Scala
1,1,"Other than C, C++ and Java, what other programming language do you use?",117,Python
1,1,"Other than C, C++ and Java, what other programming language do you use?",118,processing 
1,1,"Other than C, C++ and Java, what other programming language do you use?",119,python
1,1,"Other than C, C++ and Java, what other programming language do you use?",120,javascript
1,1,"Other than C, C++ and Java, what other programming language do you use?",121,C#
1,1,"Other than C, C++ and Java, what other programming language do you use?",122,php
1,1,"Other than C, C++ and Java, what other programming language do you use?",123,Scala
1,1,"Other than C, C++ and Java, what other programming language do you use?",124,scala
1,1,"Other than C, C++ and Java, what other programming language do you use?",125,some python
1,1,"Other than C, C++ and Java, what other programming language do you use?",126,c#
1,1,"Other than C, C++ and Java, what other programming language do you use?",127,Javascript
1,1,"Other than C, C++ and Java, what other programming language do you use?",128,Python
1,1,"Other than C, C++ and Java, what other programming language do you use?",129,Python
1,1,"Other than C, C++ and Java, what other programming language do you use?",130,JavaScript
1,1,"Other than C, C++ and Java, what other programming language do you use?",131,"C#, scala (learning)"
1,1,"Other than C, C++ and Java, what other programming language do you use?",132,javascript
1,1,"Other than C, C++ and Java, what other programming language do you use?",133,none
1,1,"Other than C, C++ and Java, what other programming language do you use?",134,.NET
1,1,"Other than C, C++ and Java, what other programming language do you use?",135,"VBScript,Python,Scala"
1,1,"Other than C, C++ and Java, what other programming language do you use?",136,"java script and its framework,scala"
1,1,"Other than C, C++ and Java, what other programming language do you use?",137,Scala
1,1,"Other than C, C++ and Java, what other programming language do you use?",138,"PHP, Scala"
1,1,"Other than C, C++ and Java, what other programming language do you use?",139,javascript
1,1,"Other than C, C++ and Java, what other programming language do you use?",140,No other language
1,1,"Other than C, C++ and Java, what other programming language do you use?",141,"Objective-C, Scala"
1,1,"Other than C, C++ and Java, what other programming language do you use?",142,"javascript, node"
1,1,"Other than C, C++ and Java, what other programming language do you use?",143,C#
1,1,"Other than C, C++ and Java, what other programming language do you use?",144,NodeJs & javascript
1,1,"Other than C, C++ and Java, what other programming language do you use?",145,"javascript, PHP, "
1,1,"Other than C, C++ and Java, what other programming language do you use?",146,none
1,1,"Other than C, C++ and Java, what other programming language do you use?",147,None
1,1,"Other than C, C++ and Java, what other programming language do you use?",148,"javascript,html"
1,1,"Other than C, C++ and Java, what other programming language do you use?",149,html
1,1,"Other than C, C++ and Java, what other programming language do you use?",150,scala
1,1,"Other than C, C++ and Java, what other programming language do you use?",151,Javascript
1,1,"Other than C, C++ and Java, what other programming language do you use?",152,scala
1,1,"Other than C, C++ and Java, what other programming language do you use?",153,python
1,1,"Other than C, C++ and Java, what other programming language do you use?",154,C#
1,1,"Other than C, C++ and Java, what other programming language do you use?",155,"groovy, scala"
1,1,"Other than C, C++ and Java, what other programming language do you use?",156,PHP
1,1,"Other than C, C++ and Java, what other programming language do you use?",157,.Net
1,1,"Other than C, C++ and Java, what other programming language do you use?",158,C#
1,1,"Other than C, C++ and Java, what other programming language do you use?",159,Python
1,2,"What is the ""nick name"" for the inventors of UML?",1,River hawks
1,2,"What is the ""nick name"" for the inventors of UML?",2,
1,2,"What is the ""nick name"" for the inventors of UML?",3,
1,2,"What is the ""nick name"" for the inventors of UML?",4,
1,2,"What is the ""nick name"" for the inventors of UML?",5,Iver
1,2,"What is the ""nick name"" for the inventors of UML?",6,Ivar Jacobson
1,2,"What is the ""nick name"" for the inventors of UML?",7,
1,2,"What is the ""nick name"" for the inventors of UML?",8,Ivar jackobson
1,2,"What is the ""nick name"" for the inventors of UML?",9,
1,2,"What is the ""nick name"" for the inventors of UML?",10,UML
1,2,"What is the ""nick name"" for the inventors of UML?",11,
1,2,"What is the ""nick name"" for the inventors of UML?",12,Three Amigos
1,2,"What is the ""nick name"" for the inventors of UML?",13,Three Amigos
1,2,"What is the ""nick name"" for the inventors of UML?",14,three amigos
1,2,"What is the ""nick name"" for the inventors of UML?",15,Ivar
1,2,"What is the ""nick name"" for the inventors of UML?",16,the three amigos
1,2,"What is the ""nick name"" for the inventors of UML?",17,3 Amigoes
1,2,"What is the ""nick name"" for the inventors of UML?",18,
1,2,"What is the ""nick name"" for the inventors of UML?",19,Three Amigos
1,2,"What is the ""nick name"" for the inventors of UML?",20,UML
1,2,"What is the ""nick name"" for the inventors of UML?",21,
1,2,"What is the ""nick name"" for the inventors of UML?",22,the three aimgos
1,2,"What is the ""nick name"" for the inventors of UML?",23,Three Amigos
